id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
157586	il	[i]l    	il(I)/	ỉl (I)	DN m. sg. abs. acc.	ʾIlu/Ilu/El	
157587	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. abs. acc.	1) king e) part of the divine titulary (cf. Rahmouni DEAUT 4ff.)	il mlk d yknnh 'El the king who created him'.
157588	d	d 	d	d	det. or rel. functor	the one(s) of	
157589	yknnh	yknnh  	!y!knn[:l+h	/k-n/	vb L prefc. 3 m. sg. + suff.	to establish, interpose, bring up	
157590	yṣḥ	yṣḥ	!y!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 m. sg.	to exclaim, shout	
# KTU 1.4 IV:49							
157591	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. acc.	Asherah	yṣḥ aṯrt w bnh 'the goddess and her sons cry out' (= I:6-7).
157592	w	w 	w	w	conj.	and	
157593	bnh	bnh  	bn(I)/+h	bn (I)	n. m. pl. cstr. acc. + 3 f. sg. suff.	son	
157594	ilt	ilt  	il(t(I)/t	ỉlt (I)	n. f. sg. abs. acc.	goddess	
157595	w	w 	w	w	conj.	and	
157596	ṣbrt	ṣbrt	ṣbr(t/t	ṣbrt	n. f. sg. cstr. acc.	clan	
# KTU 1.4 IV:50							
157597	aryh	aryh  	ary(I)/+h	ảry (I)	n. m. pl. cstr. gen. + 3 f. sg. suff.	fellow	ṣbrt aryh 'the assembly of her kin'.
157598	wn	wn  	w~n	w	conj. + encl. -n	4) declarative and emphatic functor	
157599	in	in  	in	ỉn	functor	lack of	
157600	bt	bt  	bt(II)/	bt (II)	n. m. sg. abs. nom.	house	
157601	l	l 	l(I)	l (I)	prep.	to	
157602	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	wn in bt l bˤl 'and there is no house for Baal'.
# KTU 1.4 IV:51							
157603	km	km  	km	km	prep.	like	
157604	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	1) god b) activities of the gods	
157605	w	w 	w	w	conj.	and	
157606	ḥẓr	ḥẓr  	ḥẓr/	ḥẓr	n. m. sg. abs. nom.	1) mansion	
157607	k	k 	k(I)	k (I)	prep.	like	
157608	bn	bn  	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	
157609	aṯrt	aṯrt	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	k bn aṯrt 'like the sons of Athirat'.
# KTU 1.4 IV:52							
157610	mṯb	mṯb 	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
157611	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
157612	mẓll	mẓll  	mẓll/	mẓll	n. m. sg. cstr. nom.	shelter	
157613	bnh	bnh	bn(I)/+h	bn (I)	n. m. pl. cstr. nom.	son	
# KTU 1.4 IV:53							
157614	mṯb	mṯb   	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	EUPT/construct: bound to the following genitive.
157615	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. gen.	Lady	
157616	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157617	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 IV:54							
157618	mṯb	mṯb  	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
157619	klt	klt   	kl(t(I)/t=	klt (I)	n. f. pl. cstr. gen.	bride	mṯb klt knyt 'the dwelling of the honoured brides'.
157620	knyt	knyt	kny(t/t=	knyt	adj. f. pl. abs. gen.	glorious	
157620	knyt	knyt	kny[/t=	?	vb G pass. ptcpl. f. pl. abs. gen.	?	Tania: G passive participle 'honored/purchased'; DULAT reads adj. knyt 'glorious'.
# KTU 1.4 IV:55							
157621	mṯb	mṯb  	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
157622	pdry	pdry  	pdry/	pdry	DN f. sg. abs. gen.	Pidray	
157623	bt	bt  	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
157624	ar	ar	ar/	ả/ỉr	n. m. sg. abs. gen.	light	pdry bt ar 'Pidray, daughter of Light'.
# KTU 1.4 IV:56							
157625	mẓll	mẓll  	mẓll/	mẓll	n. m. sg. cstr. nom.	shelter	
157626	ṭly	ṭly  	ṭly/	ṭly	DN f. sg. abs. gen.	Tallay	
157627	bt	bt 	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
157628	rb	rb	rb/	rb(b)	n. m. sg. abs. gen.	drizzle	ṭly bt rb 'Tallay, daughter of Drizzle'.
# KTU 1.4 IV:57							
157629	mṯb	mṯb  	mṯb/	mṯb	n. m. sg. cstr. nom.	residence	
157630	arṣy	arṣ<y>    	arṣy/	ảrṣy	DN f. sg. abs. gen.	Arṣay/Arsay	
157631	bt	bt 	b(t(I)/t	bt (I)	n. f. sg. cstr. gen.	daughter	
157632	yˤbdr	yʿbdr	yˤbdr/	yʕbdr	DN sg. abs. gen.	Yaʿibdarru/'(Daughter) of the Wide World'/attribute of ảrṣy, daughter of the god bʕl (etym. unc.)	arṣy bt yˤbdr 'Arsay, daughter of Yaʿibdar'.
# KTU 1.4 IV:58							
157633	w	w 	w	w	conj.	and	
157634	yˤn	yʿn  	!y!ˤn(y(I)[	/ʕ-n-y/ (I)	vb G prefc. 3 m. sg.	to answer	'And the Benevolent El the Benign answers'.
157635	lṭpn	lṭpn 	lṭpn/	lṭpn	adj. m. sg. abs. nom.	Benevolent	
157636	il	il  	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
157637	d	d 	d	d	det. or rel. functor	the one(s) of	
157638	pid	pid	pid/	pỉd	n. m. sg. abs. gen.	heart	d pid 'the Benign'.
# KTU 1.4 IV:59							
157639	p	p 	p(I)	p (I)	conj. functor	and	
157640	ˤbd	ʿbd  	ˤbd(I)/	ʕbd (I)	n. m. sg. abs. nom.	1) servant	p ˤbd an 'Am I then a servant?'
157641	an	an  	an(I)	ản (I)	pers. pn. 1 c. sg.	1) i a) subj. in NC	
157642	ˤnn	ʿnn  	ˤnn/	ʕnn	n. m. sg. cstr. nom.	1) manservant	ˤnn aṯrt 'a lackey of Athirat'.
157643	aṯrt	aṯrt	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	Asherah	
# KTU 1.4 IV:60							
157644	p	p 	p(I)	p (I)	conj. functor	and, and then, so	p ˤbd ank 'am I then a slave?' (DULAT p (I) cited; not p 'mouth').
157645	ˤbd	ʿbd  	ˤbd(I)/	ʕbd (I)	n. m. sg. abs. nom.	servant	
157646	ank	ank  	ank	ảnk	pers. pn. 1 c. sg.	1) i a) subj. in NC	
157647	aḫd	aḫd  	(ʔ&aḫd[	/ʔ-ḫ-d(/ḏ)/	vb G suffc. 1 c. sg.	to collect, to take (back), grasp, seize, hold	'do I hold a trowel?'
157648	ulṯ	ulṯ	ulṯ/	ủlṯ	n. m. sg. abs. acc.	trowel	
# KTU 1.4 IV:61							
157649	hm	hm  	hm(II)	hm (II)	interr. functor	2) perhaps …? (interr. functor) b) in compound question	
157650	amt	amt  	am(t/t	ảmt (I)	n. f. sg. abs. nom.	1) female slave	hm amt aṯrt 'or is Athirat a handmaid (that makes bricks)?' (DULAT).
157651	aṯrt	aṯrt  	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. nom.	Asherah	
157652	tlbn	tlbn	!t!lbn[:d	/l-b-n/	vb D prefc. 3 f. sg.	to make bricks	
# KTU 1.4 IV:62							
157653	lbnt	lbnt  	lbn(t/t=	lbnt	n. f. pl. abs. acc.	brick	DULAT: 'she will make bricks'.
157654	ybn	ybn  	!y!bn(y[:pass	/b-n-y/	vb Gpass prefc. 3 m. sg.	to be built	'let a house be built for Baal'.
157655	bt	bt  	bt(II)/	bt (II)	n. m. sg. abs. nom.	house	
157656	l	l 	l(I)	l (I)	prep.	to	
157657	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.4 V:1							
157658	km	km 	km	km	prep.	like	Refrain (= IV:51): 'like the gods ... like the sons of Athirat'.
157659	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
157660	w	w 	w	w	conj.	and	
157661	ḥẓr	ḥẓr  	ḥẓr/	ḥẓr	n. m. sg. abs. nom.	mansion	
157662	k	k 	k(I)	k (I)	prep.	like	
157663	bn	bn  	bn(I)/	bn (I)	n. m. sg. cstr. gen.	son	
157664	aṯrt	aṯrt	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. abs. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
# KTU 1.4 V:2							
157665	w	w 	w	w	conj.	and	
157666	tˤn	tʿn  	!t!ˤn(y[	/ʕ-n-y/ (I)	vb G prefc. 3 f. sg.	to answer	Lady Athirat answers; 3 f. sg.
157667	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	
157668	aṯrt	aṯrt 	aṯr(t(II)/t	ảṯrt (II)	DN f. sg. cstr. gen.	ʾAṯiratu/Athirat/Asherah/El’s wife	
157669	ym	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	sea	
# KTU 1.4 V:3							
157670	rbt	rbt  	rb(b[t=	/r-b(-b:y)/	vb G suffc. 2 m. sg.	to be great	DULAT (V:3): rbt ilm 'you are great, O El!'.
157670	rbt	rbt  	rb(t(I)/t	rbt (I)	n. f. sg. cstr. nom.	Lady	Noun reading: 'O Lady of the gods'.
157671	ilm	ilm  	il(I)/~m	ỉl (I)	DN m. sg. abs. nom. + encl. -m	god	Vocative: 'you are great, O El!' (DULAT).
157672	l	l 	l(III)	l (III)	functor	certainly	l ḥkmt 'you are indeed wise'.
157673	ḥkmt	ḥkmt	ḥkm[t=	/ḥ-k-m/	vb G suffc. 2 m. sg.	to be wise	DULAT (V:3): l ḥkmt 'truly you are wise' (// rbt vb).
# KTU 1.4 V:4							
157674	šbt	šbt  	šb(t/t	šbt	n. f. sg. cstr. nom.	greyness > old age	
157675	dqnk	dqnk  	dqn(I)/+k	dqn (I)	n. m. sg. cstr. gen. + 2 m. sg. suff.	1) beard	šbt dqnk 'the grey of your beard'.
157676	l	l 	l(III)	l (III)	functor	certainly	
157677	tsrk	tsrk	!t!(wsr[+k	/w-s-r/	vb G prefc. 3 f. sg. + 2 m. sg. suff.	to teach	'(it) instructs you'.
# KTU 1.4 V:5							
157678	rḫnnt	rḫn{n}t    	rḫn&n(t/t	rḫnt	n. f. sg. abs. nom.	sweetness	Surface rḫnnt has an extra n; DULAT rḫnt.
157679	dt	dt  	d~t	d	det. / rel. functor + encl. -t	1) the one(s) of b) det. of property	
157680	l	l 	l(I)	l (I)	prep.	to	
157681	irtk	irtk	ir(t/t+k	ỉrt	n. f. sg. cstr. gen. + 2 m. sg. suff.	1) breast a) breast	dt l irtk '(comes) to your breast'.
# KTU 1.4 V:6							
157682	wn	wn 	w~n	w	conj. + encl. -n	4) declarative and emphatic functor	
157683	ap	ap  	ap(I)	ảp (I)	adv./conj.	also	'and now Baal will appoint the time of his rain'.
157684	ˤdn	ʿdn  	!!ˤdn[/	/ʕ-d-n/	vb G inf. abs.	to appoint the time	
157685	mṭrh	mṭrh	mṭr/+h	mṭr	n. m. sg. cstr. + 3 m. sg. suff.	rain	
# KTU 1.4 V:7							
157686	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
157687	yˤdn	yʿdn  	!y!ˤdn[	/ʕ-d-n/	vb G prefc. 3 m. sg.	to appoint the time	
157687	yˤdn	yʿdn  	!y!ˤdn[:d	/ʕ-d-n/	vb D prefc. 3 m. sg.	to appoint the time	EUPT: D-stem (unwritten gemination; both viable).
157688	ˤdn	ʿdn  	ˤdn(I)/	ʕdn (I)	n. m. sg. cstr. acc.	time	ˤdn ṯkt 'the season of the ...'.
157689	ṯkt	ṯkt  	ṯk(t/t	ṯkt	n. f. sg. abs. gen.	1) art Schiff b) in mythological texts	DULAT: a vessel in mythological texts.
157690	b	b 	b	b	prep.	in	
157691	glṯ	glṯ	glṯ/	glṯ	n. m. sg. abs. gen.	storm	
# KTU 1.4 V:8							
157692	w	w 	w	w	conj.	and	
157693	tn	tn  	!(y!(ytn[	/y-t-n/	vb G prefc. 3 m. sg.	give	DULAT reads w <y>tn qlh 'and may he give his voice' (y omitted by the scribe).
157694	qlh	qlh  	ql(I)/+h	ql (I)	n. m. sg. cstr. + 3 m. sg. suff.	4) the thunderous “voice” (said of Baal’s voice)	
157695	b	b 	b	b	prep.	1) spatial location d) origin of a quality or process	
157696	ˤrpt	ʿrpt	ˤrp(t/t=	ʕrpt	n. f. pl. tant. abs. gen.	cloud(s)	
# KTU 1.4 V:9							
157697	šrh	šrh  	šr(II)/+h	šr (II)	n. m. sg. cstr. acc. + 3 m. sg. suff.	musician, singer	DULAT cites šr (II) here (qlh b ˤrpt, šrh l arṣ brqm).
157697	šrh	šrh  	šr(y[+h	/š-r-y/w/	vb G suffc. 3 m. sg. + 3 m. sg. suff.	to release	DULAT (s.v. /š-r-y/w/): 'he releases his lightnings to the earth'.
157698	l	l 	l(I)	l (I)	prep.	to	
157699	arṣ	arṣ  	arṣ/	ảrṣ	n. f. sg. cstr. gen.	1) earth	
157700	brqm	brqm	brq(I)/m	brq (I)	n. m. pl. abs. acc.	ray	
# KTU 1.4 V:10							
157701	dbt	[[d]]bt    	d bt(II)/	d; bt (II)	det. or rel. functor; n. m. sg. cstr. nom.	the one(s) of; 1) house	d bt arzm ykllnh 'whether a house of cedar they complete for him' (DULAT V:10).
157702	arzm	arzm  	arz(I)/m	ảrz (I)	n. m. pl. abs. gen.	1) a conifer	
157703	ykllnh	ykllnh	!y!kll[:d~n+h	/k-l-l/	vb D prefc. 3 m. sg. + energic-n + suff.	to complete, finish	'he will complete it'.
# KTU 1.4 V:11							
157704	hm	hm  	hm(II)	hm (II)	interr. functor	2) perhaps …? (interr. functor) b) in compound question	
157705	bt	bt  	bt(II)/	bt (II)	n. m. sg. cstr. nom.	1) house	hm bt lbnt 'or a house of bricks' (DULAT cites bt (II) at V:11); not 'daughter'.
157706	lbnt	lbnt  	lbn(t/t=	lbnt	n. f. pl. abs. gen.	brick	
157707	yˤmsnh	yʿmsnh	!y!ˤms[~n+h	/ʕ-m-s/	vb G prefc. 3 m. sg. + energic-n + suff.	to load	'he will load it (up)'.
157707	yˤmsnh	yʿmsnh	!y!ˤms[~n+h:d	/ʕ-m-s/	vb D prefc. 3 m. sg. + energic-n + suff.	to load	EUPT: D-stem (unwritten gemination; both viable).
# KTU 1.4 V:12							
157708	l	l 	l(III)	l (III)	functor	certainly	l yrgm 'it is indeed told'.
157709	yrgm	yrgm  	!y!rgm[:pass	/r-g-m/	vb Gpass prefc. 3 m. sg.	to say	
157710	l	l 	l(I)	l (I)	prep.	to	
157711	aliyn	aliyn 	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
157712	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.4 V:13							
157713	ṣḥ	ṣḥ  	!!ṣḥ[	/ṣ-ḥ/	vb G impv. m. sg.	to exclaim	
157714	ḫrn	ḫrn  	ḫrn/	ḫrn	n. m. sg. abs. acc.	gang, squad, caravan	ṣḥ ḫrn 'summon a work-gang' (DULAT ḫrn).
157715	b	b 	b	b	prep.	in	
157716	bhmk	bhmk	bh(t&m/+k	bt (II)	n. m. pl. cstr. gen. + 2 m. sg. suff.	house, building; residence, home	Surface bhmk for bhtk; m for t (sign confusion).
# KTU 1.4 V:14							
157717	ˤḏbt	ʿḏbt  	ˤḏb(t/t	ʕḏbt	n. f. sg. abs. acc.	squad, caravan	Second object of ṣḥ (DULAT ʕḏbt).
157718	b	b 	b	b	prep.	in	
157719	qrb	qrb  	qrb/	qrb	n. m. sg. cstr. gen.	inside	
157720	hklk	hklk	hkl/+k	hkl	n. m. sg. cstr. gen. + 2 m. sg. suff.	palace	
# KTU 1.4 V:15							
157721	tblk	tblk  	!t!(ybl[+k	/y-b-l/	vb G prefc. 3 m. pl. + 2 m. sg. suff.	to carry, bring, take	'the mountains bring you much silver'.
157722	ġrm	ġrm  	ġr(I)/m	ġr (I)	n. m. pl. abs. nom.	mountain	
157723	mid	mid  	mid/	mỉ/ủd	n. m. sg. cstr. acc.	1) abundance	
157724	ksp	ksp 	ksp/	ksp	n. m. sg. abs. gen.	1) silver a) 4.738	
# KTU 1.4 V:16							
157725	gbˤm	gbʿm  	gbˤ/m	gbʕ	n. m. pl. abs. nom.	hill	
157726	mḥmd	mḥmd  	mḥmd/	mḥmd	adj. m. sg. cstr. acc.	desired	
157727	ḫrṣ	ḫrṣ	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	gold	mḥmd ḫrṣ 'the choicest gold'.
# KTU 1.4 V:17							
157728	yblk	yblk  	!y!(ybl[+k	/y-b-l/	vb G prefc. 3 m. pl. + 2 m. sg. suff.	to carry, bring, take	
157729	udr	udr  	udr/	ủdr	n. m. sg. cstr. acc.	nobility	udr ilqṣm 'the finest of gems'.
157730	ilqṣm	ilqṣm	ilqṣm/	ỉlqṣm	n. m. sg. abs. gen.	gem	
# KTU 1.4 V:18							
157731	w	w 	w	w	conj.	and	
157732	bn	bn  	!!bn[	/b-n-y/	vb G impv. m. sg.	to build	bn bht ksp w ḫrṣ 'build a house of silver and gold'.
157733	bht	bht  	bht(II)/	bt (II)	n. m. pl. cstr. acc.	2) palace	
157734	ksp	ksp  	ksp/	ksp	n. m. sg. abs. gen.	1) silver b) items made of silver	
157735	w	w 	w	w	conj.	and	
157736	ḫrṣ	ḫrṣ	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	gold	
# KTU 1.4 V:19							
157737	bht	bht  	bht(II)/	bt (II)	n. m. pl. cstr. acc.	house	
157738	ṭhrm	ṭhrm  	ṭhr/m	ṭhr	adj. m. pl. abs. gen.	pure	
157739	iqnim	iqnim	iqn(u&i/m	ỉqnủ	n. m. pl. abs. gen.	1) gem of lapis lazuli	bht ṭhrm iqnim 'a house pure of lapis lazuli'.
# KTU 1.4 V:20							
157740	šmḫ	šmḫ  	šmḫ[	/š-m-ḫ/	vb G suffc. 3 f. sg.	to be glad, rejoice	'Virgin Anat rejoices'.
157740	šmḫ	šmḫ  	!!šmḫ[/	/š-m-ḫ/	vb G inf.	to be glad, rejoice	EUPT: G-Inf.
157741	btlt	btlt  	btl(t/t	btlt	n. f. sg. cstr. nom.	virgin	
157742	ˤnt	ʿnt  	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
157743	tdˤṣ	tdʿṣ	!t!dˤṣ[	/d-ʕ-ṣ/	vb G prefc. 3 f. sg.	to fix, lean, press	tdˤṣ pˤnm 'she stamps her feet'.
# KTU 1.4 V:21							
157744	pˤnm	pʿnm  	pˤn/m	pʕn	n. f. du. abs. acc.	1) foot a) tdʕṣ pʕnm she pressed (?) (her) feet (down)	
157745	w	w 	w	w	conj.	and	
157746	tr	tr  	!!tr[/	/t-r/	vb G inf. abs.	to scour, travel through, cross	'and crosses the earth'.
157747	arṣ	arṣ	arṣ/	ảrṣ	n. f. sg. abs. acc.	1) earth	
# KTU 1.4 V:22							
157748	idk	idk  	idk	ỉdk	narrative adv. functor	then	
157749	l	l 	l(III)	l (III)	functor	certainly	Journey formula.
157750	ttn	ttn  	!t!(ytn[	/y-t-n/	vb G prefc. 3 f. sg.	to give	Anat sets out (// IV:20).
157751	pnm	pnm	pn(m/m	pnm	n. m. pl. tant. abs. acc.	face	idk l (ttn) pnm 'then she sets (her) face'.
# KTU 1.4 V:23							
157752	ˤm	ʿm  	ˤm(I)	ʕm (I)	prep.	to	
157753	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
157754	mrym	mrym  	mrym/	mrym	n. m. sg. cstr. gen.	height	
157755	ṣpn	ṣpn	ṣpn/	ṣpn	TN/DN sg. abs. gen.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	mrym ṣpn 'the heights of Zaphon'.
# KTU 1.4 V:24							
157756	b	b 	b	b	prep.	in	
157757	alp	alp  	alp(II)/	ảlp (II)	num.	(one, a) thousand	b alp šd 'over a thousand strips' (// 1.1 III:2); not 'cattle'.
157758	šd	šd  	šd(II)/	šd (II)	n. m. sg. cstr. gen.	a strip	
157759	rbt	rbt  	rb(b(t/t	rb(b)t	num.	ten thousand	rbt kmn 'a myriad of acres'; not rbt 'Lady'.
157760	kmn	kmn	kmn(I)/	kmn (I)	n. m. sg. abs. gen.	acre	rbt kmn 'ten thousand acres'.
# KTU 1.4 V:25							
157761	ṣḥq	ṣḥq  	ṣḥq[	/ṣ-ḥ-q/	vb G suffc. 3 f. sg.	to laugh	'Virgin Anat laughs'.
157761	ṣḥq	ṣḥq  	!!ṣḥq[/	/ṣ-ḥ-q/	vb G inf.	to laugh	EUPT: G inf., 'laughing'.
157762	btlt	btlt  	btl(t/t	btlt	n. f. sg. cstr. nom.	virgin	
157763	ˤnt	ʿnt  	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
157764	tšu	tšu	!t!(nš(ʔ[&u	/n-š-ʔ/	vb G prefc. 3 f. sg.	to raise, lift, help up	
# KTU 1.4 V:26							
157765	gh	gh  	g/+h	g	n. m. sg. cstr. acc.	(loud) voice	
157766	w	w 	w	w	conj.	and	
157767	tṣḥ	tṣḥ  	!t!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 f. sg.	to exclaim	
157768	tbšr	tbšr 	!t!bšr[:pass	/b-š-r/	vb Dpass prefc. 2 m. sg.	to be brought, hear, receive (good) news	tbšr bˤl 'Be informed, O Baal!'
157769	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
# KTU 1.4 V:27							
157770	bšrtk	bšrtk  	bšr(t/t+k	bšrt	n. f. sg. cstr. acc. + 2 m. sg. suff.	news	'I bring you good news'.
157771	yblt	yblt  	ybl[t	/y-b-l/	vb G suffc. 1 c. sg.	to carry, bring, take	1 c. sg. (Anat speaking).
157772	ytn	ytn	!y!(ytn[	/y-t-n/	vb G prefc. 3 m. sg.	to give, hand over, grant, bestow	'A house will be given you'.
157772	ytn	ytn	!y!(ytn[:pass	/y-t-n/	vb Gpass prefc. 3 m. sg.	to give, hand over, grant, bestow	EUPT: Gp (passive), 'is given'.
# KTU 1.4 V:28							
157773	bt	bt  	bt(II)/	bt (II)	n. m. sg. abs. acc.	1) house	Object of ytn ('he will grant you a house'); DULAT renders as passive.
157774	lk	lk  	l(I)+k	l (I)	prep. + 2 m. sg. suff.	to	
157775	km	km  	km	km	prep.	like	
157776	aḫk	aḫk  	aḫ(I)/+k	ảḫ (I)	n. m. pl. cstr. gen. + 2 m. sg. suff.	2) in a figurative sense b) neighbour	km aḫk 'like your brothers'.
157777	w	w 	w	w	conj.	and	
157778	ḥẓr	ḥẓr	ḥẓr/	ḥẓr	n. m. sg. abs. acc.	1) mansion	
# KTU 1.4 V:29							
157779	km	km  	km	km	prep.	like	
157780	aryk	aryk  	ary(I)/+k	ảry (I)	n. m. pl. cstr. gen. + 2 m. sg. suff.	fellow	km aryk 'like your kin'.
157781	ṣḥ	ṣḥ  	!!ṣḥ[	/ṣ-ḥ/	vb G impv. m. sg.	to exclaim, shout	
157782	ḫrn	ḫrn	ḫrn/	ḫrn	n. m. sg. abs. acc.	gang, squad, caravan	ṣḥ ḫrn 'summon a work-gang' (DULAT ḫrn).
# KTU 1.4 V:30							
157783	b	b 	b	b	prep.	in	
157784	bhtk	bhtk  	bht(II)/+k	bt (II)	n. m. pl. cstr. gen. + 2 m. sg. suff.	house	
157785	ˤḏbt	ʿḏbt  	ˤḏb(t/t	ʕḏbt	n. f. sg. abs. acc.	squad, caravan	
157786	b	b 	b	b	prep.	in	
157787	qrb	qrb	qrb/	qrb	n. m. sg. cstr. gen.	inside	
# KTU 1.4 V:31							
157788	hklk	hklk  	hkl/+k	hkl	n. m. sg. cstr. gen. + 2 m. sg. suff.	palace	
157789	tblk	tblk  	!t!(ybl[+k	/y-b-l/	vb G prefc. 3 m. pl. + 2 m. sg. suff.	to carry	
157790	ġrm	ġrm	ġr(I)/m	ġr (I)	n. m. pl. abs. nom.	mountain	
# KTU 1.4 V:32							
157791	mid	mid  	mid/	mỉ/ủd	n. m. sg. cstr. acc.	abundance	
157792	ksp	ksp  	ksp/	ksp	n. m. sg. abs. gen.	silver	
157793	gbˤm	gbʿm  	gbˤ/m	gbʕ	n. m. pl. abs. nom.	hill	
157794	mḥmd	mḥmd	mḥmd/	mḥmd	adj. m. sg. cstr. acc.	desired	
# KTU 1.4 V:33							
157795	ḫrṣ	ḫrṣ  	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	1) gold a) in general	
157796	w	w 	w	w	conj.	and	
157797	bn	bn  	!!bn[	/b-n-y/	vb G impv. m. sg.	to build	
157798	bht	bht  	bht(II)/	bt (II)	n. m. pl. cstr. acc.	house	
157799	ksp	ksp	ksp/	ksp	n. m. sg. abs. gen.	silver	
# KTU 1.4 V:34							
157800	w	w 	w	w	conj.	and	
157801	ḫrṣ	ḫrṣ  	ḫrṣ/	ḫrṣ	n. m. sg. abs. gen.	1) gold b) in craftwork	
157802	bht	bht  	bht(II)/	bt (II)	n. m. pl. cstr. acc.	house	
157803	ṭhrm	ṭhrm	ṭhr/m	ṭhr	adj. m. pl. abs. gen.	pure	
# KTU 1.4 V:35							
157804	iqnim	iqnim  	iqn(u&i/m	ỉqnủ	n. m. pl. abs. gen.	gem of lapis lazuli	
157805	šmḫ	šmḫ  	šmḫ[	/š-m-ḫ/	vb G suffc. 3 m. sg.	to be glad, rejoice	'Mightiest Baal rejoices'.
157805	šmḫ	šmḫ  	!!šmḫ[/	/š-m-ḫ/	vb G inf.	to be glad, rejoice	EUPT: G-Inf.
157806	aliyn	aliyn	aliyn/	ảlỉyn	adj. m. sg. abs. nom.	The Very / Most Powerful	
# KTU 1.4 V:36							
157807	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
157808	ṣḥ	ṣḥ  	!!ṣḥ[	/ṣ-ḥ/	vb G impv. m. sg.	to exclaim	
157809	ḫrn	ḫrn  	ḫrn/	ḫrn	n. m. sg. abs. acc.	gang, squad, caravan	ṣḥ ḫrn b bhtk 'summon a work-gang into your house'.
157810	b	b 	b	b	prep.	in	
157811	bhth	bhth	bht(II)/+h	bt (II)	n. m. pl. cstr. gen. + 3 m. sg. suff.	house	'provision within his palace'.
# KTU 1.4 V:37							
157812	ˤḏbt	ʿḏbt  	ˤḏb(t/t	ʕḏbt	n. f. sg. abs. acc.	squad, caravan	
157813	b	b 	b	b	prep.	in	
157814	qrb	qrb 	qrb/	qrb	n. m. sg. cstr. gen.	1) inside	
157815	hklh	hklh	hkl/+h	hkl	n. m. sg. cstr. gen. + 3 m. sg. suff.	palace	
# KTU 1.4 V:38							
157816	yblnn	yblnn 	!y!(ybl[+nn	/y-b-l/	vb G prefc. 3 m. pl. + 3 m. sg. suff.	to carry	'the mountains bring him...'.
157817	ġrm	ġrm  	ġr(I)/m	ġr (I)	n. m. pl. abs. nom.	mountain	
157818	mid	mid  	mid/	mỉ/ủd	n. m. sg. cstr. acc.	abundance	
157819	ksp	ksp	ksp/	ksp	n. m. sg. abs. gen.	silver	
